Phase,Order,Task name,Pillars,Owner,Depends on,Priority,In ClickUp,Description
"Phase 3 · Sealed as a product inside the set",3.1,"DECISION: the box price feed",Collector,Jib + Cards,,high,yes,"Decided 5 Sep 2026: automated. Daily TCGplayer market per box via TCGCSV (public mirror of TCGplayer's API) into data/box-price-history.csv, keyed by tcgplayerProductId on the roster; no hand reads; seed:check warns if the feed stalls 3 days."
"Phase 3 · Sealed as a product inside the set",3.2,"Sealed section on set detail with the box as a product","Collector, Fandom",Code,3.1,normal,yes,"Box as a product card at the top of set detail."
"Phase 3 · Sealed as a product inside the set",3.3,"Cleared box art for the remaining 22 sets","Collector, Fandom",Cards + Design,,normal,yes,"public/box-art/{code}-en-white.jpg; blocked on cleared images."
"Phase 4 · Portfolio and watchlist that answer questions",4.1,"Movers: 7d / 30d changes among owned and watched cards",Collector,Code,0.1,high,yes,"Biggest up / down movers from history, in words."
"Phase 4 · Portfolio and watchlist that answer questions",4.2,"Watching shows change since starred",Collector,Code,4.1,normal,yes,"'+$x since d MMM' per watched card."
"Phase 4 · Portfolio and watchlist that answer questions",4.3,"Set completion: 'You own 12 of 151'",Collector,Code,,normal,yes,"Per-set owned / total on set detail and tile."
"Phase 4 · Portfolio and watchlist that answer questions",4.4,"Playsets: owned count against 4 for play","Player, Collector",Code,,normal,yes,"'2 of 4' on Own block; Collection filter."
"Phase 5 · Depth (needs data or a decision)",5.1,"SG asks for the other 20 boxes",Collector,Cards,,normal,yes,"Closed 5 Sep 2026 as superseded: no automated SG source; box prices are TCGplayer market daily (3.1) and the SG line is retired (3.2)."
"Phase 5 · Depth (needs data or a decision)",5.2,"Multiple collections (Main / Trade pile)",Collector,Code,,low,yes,"Parked."
"Phase 5 · Depth (needs data or a decision)",5.3,"Graded prices and population",Collector,Jib,,low,yes,"Parked; needs a licensed source."
"Phase 5 · Depth (needs data or a decision)",5.4,"Currency display switch",Collector,Design + Code,,normal,yes (complete),"Shipped 6 Sep 2026. Portfolio US $ / S$ at the dated ECB cross; costs never convert; P/L stays US $."
"Phase 6 · Play",6.1,"DECISION: where decks live (fourth tab vs under Collection)",Player,Jib + Design,,high,yes,"Three-tab rule vs a Decks tab."
"Phase 6 · Play",6.2,"Deck builder: leader + 50 cards, local-only",Player,Code + Design,"6.1, 1.0",high,yes,"Validation in words; export/import plain text deck list."
"Phase 6 · Play",6.3,"Deck vs collection: what you own, what you are missing, what it costs","Player, Collector",Code,6.2,high,yes,"'You own 42 of 51' + missing list with seed prices; star the gap."
"Phase 6 · Play",6.4,"Legality: regulation block and Standard / Extra on cards and decks",Player,Code,"1.0, 6.2",normal,yes,"Read from Limitless as published."
"Phase 6 · Play",6.5,"Starter decks (ST-01 … ST-36) on the roster","Player, Collector",Cards + Code,,normal,yes,"product: starter_deck rows; refresh seeds them; own quiet group on Sets home."
"Phase 6 · Play",6.6,"Decks that play this card (link-first)",Player,Code,,low,yes,"Single link to Limitless tournament decks; no scraping."
"Phase 6 · Play",6.7,"Learn to play: official rules and how-to-play, linked not copied",Player,Design,,normal,yes,"Five sentences of ours + links to Bandai rules."
"Phase 7 · Belong (fandom)",7.1,"Set stories: one arc line per set",Fandom,Design + Cards,,normal,yes (complete),"Shipped PR #22, 6 Sep 2026. introTheme for all 23 sets; Bandai product pages as source, words ours."
"Phase 7 · Belong (fandom)",7.2,"Release timeline view","Fandom, Collector",Code + Design,,normal,yes (complete),"Shipped PR #22, 6 Sep 2026. EN + JP dates as a quiet list-timeline toggle on Sets home."
"Phase 7 · Belong (fandom)",7.3,"Artists: illustrators and their cards","Fandom, Collector",Code,1.0,normal,yes (complete),"Shipped PR #21, 6 Sep 2026. Artist page with every print; reached from Illustrated by and search."
"Phase 7 · Belong (fandom)",7.4,"Characters: pages and a watch star",Fandom,Code,2.4,normal,yes (complete),"Shipped PR #21, 6 Sep 2026. Character page; watchlist star extended to characters."
"Phase 7 · Belong (fandom)",7.5,"Upcoming sets on the roster (EB-05, OP-18)","Fandom, Collector",Cards + Code,,normal,yes (complete),"Shipped PR #21, 6 Sep 2026. Pending rows with TCGCSV dates; refresh seeds automatically."
"Phase 7 · Belong (fandom)",7.6,"Official events, linked",Fandom,Design,,low,NO (quota),"Links to Bandai event pages; no feed. Stays low."
"Phase 7 · Belong (fandom)",7.7,"ENABLER: wiki line pipeline",Fandom,Code,0.3,high,yes (complete),"npm run wiki:refresh; CC BY-SA 3.0 cache in data/wiki/; debut-arc gate; no images."
"Phase 7 · Belong (fandom)",7.8,"Who is … and Born on character pages",Fandom,Code,"7.7, 7.4",normal,yes (complete),"Gated wiki sentence + Born 9 March; attribution only when a line printed; Imu shows nothing."
"Phase 7 · Belong (fandom)",7.9,"On This Day under the timeline Today rule",Fandom,Code,"7.7, 7.8, 7.2",normal,yes (complete),"Date, then ≤3 names as 44px rows A–Z; link to the character."
"Phase 7 · Belong (fandom)",7.10,"Today's card (stood down on the timeline)",Fandom,Code,"7.7, 7.8, 7.2",normal,yes (complete),"Date rule specified; East Blue pool is 4 names, under ≥100. Not imported on the timeline."
"Phase 7 · Belong (fandom)",7.11,"Countdown on upcoming rows","Fandom, Collector",Code,"7.2, 7.5",normal,yes (complete),"in N days from the device date; today/tomorrow only on a Bandai day; US-date rows never say today."
"Phase 8 · Start here (one door for all three)",8.1,"Start here: Collect · Play · Belong",All,Design + Code,"6.7, 7.1",normal,yes (complete),"Shipped PR #22, 6 Sep 2026. Three doors, one sentence each; reached from the wordmark on first visit."
"Ongoing",,"Weekly data health",All,Code,0.3,normal,yes (complete),"Standing, not a numbered phase. Shipped 6 Sep 2026. /data names warnings, unpriced prints, exclusions and catalogue dates from data/health.json."
"Ongoing",,"Design review of addenda before each phase ships",All,Design,,normal,yes,"Standing, not a numbered phase. Recurring."
"Ongoing",,"Customer lenses: shop + learn pass before the next phase","Collector, Player",Design + Code,"8.1, 9.1, 6.7",normal,yes (draft),"Jib 6 Sep 2026. 20 shoppers (Collectr then /belong) + 20 learners (Bandai how-to-play then /belong). No third World-only wave. Draft v1 then same 40, then v2 for approval. Not a shop. ClickUp: https://app.clickup.com/t/86eyuqep7"
"Phase 9 · Fandom page",9.1,"Fandom page: /belong, fifth tab World, story index, fruit log, people book, reader cutoff",Fandom,Design + Code,"7.7, 7.8, 8.1",normal,yes (complete),"Shipped PR #29, 6 Sep 2026. World as an index — titles, ranges, people, fruit names; no plot paragraphs. Fruit rows stay text. ClickUp: https://app.clickup.com/t/86eyuqatu"
"Later · Southeast Asia (hypothesis)",10.0,"DECISION: Malaysia and Indonesia — only if research asks","Collector, Fandom",Jib + Design,5.4,low,yes (parked),"Later, not a phase you finish before 9. Parked. Seat collectors in those markets before opening a currency chip or a locale. Not work to start. ClickUp: https://app.clickup.com/t/86eyuqbbq"
